Würfel Angriff:     Würfel Verteidigung:     Ausgang:
1 3 4               4 5                      Sieg der Verteidigung
1 3 4               4 6                      Sieg der Verteidigung
1 3 4               5 1                      Gleichstand! YAY
1 3 4               5 2                      Gleichstand! YAY
1 3 4               5 3                      Sieg der Verteidigung
1 3 4               5 4                      Sieg der Verteidigung
1 3 4               5 5                      Sieg der Verteidigung
1 3 4               5 6                      Sieg der Verteidigung
1 3 4               6 1                      Gleichstand! YAY
1 3 4               6 2                      Gleichstand! YAY
1 3 4               6 3                      Sieg der Verteidigung
1 3 4               6 4                      Sieg der Verteidigung
1 3 4               6 5                      Sieg der Verteidigung
1 3 4               6 6                      Sieg der Verteidigung
1 3 5               1 1                      Sieg des Angriffs
1 3 5               1 2                      Sieg des Angriffs
1 3 5               1 3                      Sieg des Angriffs
1 3 5               1 4                      Sieg des Angriffs
1 3 5               1 5                      Gleichstand! YAY
1 3 5               1 6                      Gleichstand! YAY
1 3 5               2 1                      Sieg des Angriffs
1 3 5               2 2                      Sieg des Angriffs
1 3 5               2 3                      Sieg des Angriffs
1 3 5               2 4                      Sieg des Angriffs
1 3 5               2 5                      Gleichstand! YAY
1 3 5               2 6                      Gleichstand! YAY
1 3 5               3 1                      Sieg des Angriffs
1 3 5               3 2                      Sieg des Angriffs
1 3 5               3 3                      Gleichstand! YAY
1 3 5               3 4                      Gleichstand! YAY
1 3 5               3 5                      Sieg der Verteidigung
1 3 5               3 6                      Sieg der Verteidigung
1 3 5               4 1                      Sieg des Angriffs
1 3 5               4 2                      Sieg des Angriffs
1 3 5               4 3                      Gleichstand! YAY
1 3 5               4 4                      Gleichstand! YAY
1 3 5               4 5                      Sieg der Verteidigung
1 3 5               4 6                      Sieg der Verteidigung
1 3 5               5 1                      Gleichstand! YAY
1 3 5               5 2                      Gleichstand! YAY
1 3 5               5 3                      Sieg der Verteidigung
1 3 5               5 4                      Sieg der Verteidigung
1 3 5               5 5                      Sieg der Verteidigung
1 3 5               5 6                      Sieg der Verteidigung
1 3 5               6 1                      Gleichstand! YAY
1 3 5               6 2                      Gleichstand! YAY
1 3 5               6 3                      Sieg der Verteidigung
1 3 5               6 4                      Sieg der Verteidigung
